E(eV),dos(E),pdos(E)
-6.565999999999999837e+00,4.049999999999999822e+00,4.040000000000000036e+00
-6.556000000000000050e+00,4.139999999999999680e+00,4.129999999999999893e+00
-6.546000000000000263e+00,4.230000000000000426e+00,4.219999999999999751e+00
-6.535999999999999588e+00,4.330000000000000071e+00,4.320000000000000284e+00
-6.525999999999999801e+00,4.429999999999999716e+00,4.419999999999999929e+00
-6.516000000000000014e+00,4.540000000000000036e+00,4.530000000000000249e+00
-6.506000000000000227e+00,4.650000000000000355e+00,4.639999999999999680e+00
-6.496000000000000441e+00,4.769999999999999574e+00,4.759999999999999787e+00
-6.485999999999999766e+00,4.889999999999999680e+00,4.879999999999999893e+00
-6.475999999999999979e+00,5.019999999999999574e+00,5.009999999999999787e+00
-6.466000000000000192e+00,5.150000000000000355e+00,5.139999999999999680e+00
-6.456000000000000405e+00,5.290000000000000036e+00,5.280000000000000249e+00
-6.445999999999999730e+00,5.429999999999999716e+00,5.419999999999999929e+00
-6.435999999999999943e+00,5.570000000000000284e+00,5.559999999999999609e+00
-6.426000000000000156e+00,5.719999999999999751e+00,5.700000000000000178e+00
-6.416000000000000369e+00,5.860000000000000320e+00,5.849999999999999645e+00
-6.405999999999999694e+00,6.009999999999999787e+00,6.000000000000000000e+00
-6.395999999999999908e+00,6.169999999999999929e+00,6.150000000000000355e+00
-6.386000000000000121e+00,6.320000000000000284e+00,6.299999999999999822e+00
-6.376000000000000334e+00,6.469999999999999751e+00,6.459999999999999964e+00
-6.365999999999999659e+00,6.629999999999999893e+00,6.610000000000000320e+00
-6.355999999999999872e+00,6.780000000000000249e+00,6.759999999999999787e+00
-6.346000000000000085e+00,6.929999999999999716e+00,6.919999999999999929e+00
-6.336000000000000298e+00,7.080000000000000071e+00,7.070000000000000284e+00
-6.325999999999999623e+00,7.230000000000000426e+00,7.219999999999999751e+00
-6.315999999999999837e+00,7.379999999999999893e+00,7.360000000000000320e+00
-6.306000000000000050e+00,7.519999999999999574e+00,7.509999999999999787e+00
-6.296000000000000263e+00,7.660000000000000142e+00,7.650000000000000355e+00
-6.285999999999999588e+00,7.799999999999999822e+00,7.780000000000000249e+00
-6.275999999999999801e+00,7.929999999999999716e+00,7.910000000000000142e+00
-6.266000000000000014e+00,8.060000000000000497e+00,8.039999999999999147e+00
-6.256000000000000227e+00,8.189999999999999503e+00,8.169999999999999929e+00
-6.246000000000000441e+00,8.310000000000000497e+00,8.289999999999999147e+00
-6.235999999999999766e+00,8.419999999999999929e+00,8.400000000000000355e+00
-6.225999999999999979e+00,8.529999999999999361e+00,8.509999999999999787e+00
-6.216000000000000192e+00,8.630000000000000782e+00,8.609999999999999432e+00
-6.206000000000000405e+00,8.730000000000000426e+00,8.710000000000000853e+00
-6.195999999999999730e+00,8.820000000000000284e+00,8.800000000000000711e+00
-6.185999999999999943e+00,8.910000000000000142e+00,8.890000000000000568e+00
-6.176000000000000156e+00,8.990000000000000213e+00,8.970000000000000639e+00
-6.166000000000000369e+00,9.070000000000000284e+00,9.050000000000000711e+00
-6.155999999999999694e+00,9.140000000000000568e+00,9.119999999999999218e+00
-6.145999999999999908e+00,9.210000000000000853e+00,9.189999999999999503e+00
-6.136000000000000121e+00,9.269999999999999574e+00,9.250000000000000000e+00
-6.126000000000000334e+00,9.330000000000000071e+00,9.310000000000000497e+00
-6.115999999999999659e+00,9.390000000000000568e+00,9.359999999999999432e+00
-6.105999999999999872e+00,9.439999999999999503e+00,9.419999999999999929e+00
-6.096000000000000085e+00,9.490000000000000213e+00,9.460000000000000853e+00
-6.086000000000000298e+00,9.539999999999999147e+00,9.509999999999999787e+00
-6.075999999999999623e+00,9.580000000000000071e+00,9.550000000000000711e+00
-6.065999999999999837e+00,9.619999999999999218e+00,9.599999999999999645e+00
-6.056000000000000050e+00,9.660000000000000142e+00,9.640000000000000568e+00
-6.046000000000000263e+00,9.699999999999999289e+00,9.679999999999999716e+00
-6.035999999999999588e+00,9.740000000000000213e+00,9.720000000000000639e+00
-6.025999999999999801e+00,9.779999999999999361e+00,9.759999999999999787e+00
-6.016000000000000014e+00,9.820000000000000284e+00,9.800000000000000711e+00
-6.006000000000000227e+00,9.859999999999999432e+00,9.839999999999999858e+00
-5.996000000000000441e+00,9.910000000000000142e+00,9.880000000000000782e+00
-5.985999999999999766e+00,9.949999999999999289e+00,9.919999999999999929e+00
-5.975999999999999979e+00,9.990000000000000213e+00,9.970000000000000639e+00
-5.966000000000000192e+00,1.000000000000000000e+01,1.000000000000000000e+01
-5.956000000000000405e+00,1.009999999999999964e+01,1.009999999999999964e+01
-5.945999999999999730e+00,1.009999999999999964e+01,1.009999999999999964e+01
-5.935999999999999943e+00,1.019999999999999929e+01,1.019999999999999929e+01
-5.926000000000000156e+00,1.030000000000000071e+01,1.019999999999999929e+01
-5.916000000000000369e+00,1.030000000000000071e+01,1.030000000000000071e+01
-5.905999999999999694e+00,1.040000000000000036e+01,1.030000000000000071e+01
-5.895999999999999908e+00,1.040000000000000036e+01,1.040000000000000036e+01
-5.886000000000000121e+00,1.050000000000000000e+01,1.050000000000000000e+01
-5.876000000000000334e+00,1.059999999999999964e+01,1.050000000000000000e+01
-5.865999999999999659e+00,1.059999999999999964e+01,1.059999999999999964e+01
-5.855999999999999872e+00,1.069999999999999929e+01,1.069999999999999929e+01
-5.846000000000000085e+00,1.080000000000000071e+01,1.080000000000000071e+01
-5.836000000000000298e+00,1.090000000000000036e+01,1.080000000000000071e+01
-5.825999999999999623e+00,1.100000000000000000e+01,1.090000000000000036e+01
-5.815999999999999837e+00,1.100000000000000000e+01,1.100000000000000000e+01
-5.806000000000000050e+00,1.109999999999999964e+01,1.109999999999999964e+01
-5.796000000000000263e+00,1.119999999999999929e+01,1.119999999999999929e+01
-5.785999999999999588e+00,1.130000000000000071e+01,1.119999999999999929e+01
-5.775999999999999801e+00,1.130000000000000071e+01,1.130000000000000071e+01
-5.766000000000000014e+00,1.140000000000000036e+01,1.140000000000000036e+01
-5.756000000000000227e+00,1.150000000000000000e+01,1.150000000000000000e+01
-5.746000000000000441e+00,1.159999999999999964e+01,1.150000000000000000e+01
-5.735999999999999766e+00,1.159999999999999964e+01,1.159999999999999964e+01
-5.725999999999999979e+00,1.169999999999999929e+01,1.169999999999999929e+01
-5.716000000000000192e+00,1.180000000000000071e+01,1.169999999999999929e+01
-5.706000000000000405e+00,1.180000000000000071e+01,1.180000000000000071e+01
-5.695999999999999730e+00,1.180000000000000071e+01,1.180000000000000071e+01
-5.685999999999999943e+00,1.190000000000000036e+01,1.180000000000000071e+01
-5.676000000000000156e+00,1.190000000000000036e+01,1.190000000000000036e+01
-5.666000000000000369e+00,1.190000000000000036e+01,1.190000000000000036e+01
-5.655999999999999694e+00,1.190000000000000036e+01,1.190000000000000036e+01
-5.645999999999999908e+00,1.190000000000000036e+01,1.190000000000000036e+01
-5.636000000000000121e+00,1.190000000000000036e+01,1.190000000000000036e+01
-5.626000000000000334e+00,1.190000000000000036e+01,1.180000000000000071e+01
-5.615999999999999659e+00,1.190000000000000036e+01,1.180000000000000071e+01
-5.605999999999999872e+00,1.180000000000000071e+01,1.180000000000000071e+01
-5.596000000000000085e+00,1.169999999999999929e+01,1.169999999999999929e+01
-5.586000000000000298e+00,1.169999999999999929e+01,1.159999999999999964e+01
-5.575999999999999623e+00,1.159999999999999964e+01,1.150000000000000000e+01
-5.565999999999999837e+00,1.150000000000000000e+01,1.140000000000000036e+01
-5.556000000000000050e+00,1.130000000000000071e+01,1.130000000000000071e+01
-5.546000000000000263e+00,1.119999999999999929e+01,1.119999999999999929e+01
-5.535999999999999588e+00,1.109999999999999964e+01,1.100000000000000000e+01
-5.525999999999999801e+00,1.090000000000000036e+01,1.090000000000000036e+01
-5.516000000000000014e+00,1.069999999999999929e+01,1.069999999999999929e+01
-5.506000000000000227e+00,1.050000000000000000e+01,1.050000000000000000e+01
-5.496000000000000441e+00,1.030000000000000071e+01,1.030000000000000071e+01
-5.485999999999999766e+00,1.009999999999999964e+01,1.009999999999999964e+01
-5.475999999999999979e+00,9.890000000000000568e+00,9.859999999999999432e+00
-5.466000000000000192e+00,9.660000000000000142e+00,9.619999999999999218e+00
-5.456000000000000405e+00,9.410000000000000142e+00,9.369999999999999218e+00
-5.445999999999999730e+00,9.150000000000000355e+00,9.119999999999999218e+00
-5.435999999999999943e+00,8.880000000000000782e+00,8.849999999999999645e+00
-5.426000000000000156e+00,8.609999999999999432e+00,8.580000000000000071e+00
-5.416000000000000369e+00,8.330000000000000071e+00,8.300000000000000711e+00
-5.405999999999999694e+00,8.039999999999999147e+00,8.009999999999999787e+00
-5.395999999999999908e+00,7.750000000000000000e+00,7.719999999999999751e+00
-5.386000000000000121e+00,7.450000000000000178e+00,7.419999999999999929e+00
-5.376000000000000334e+00,7.150000000000000355e+00,7.120000000000000107e+00
-5.365999999999999659e+00,6.849999999999999645e+00,6.820000000000000284e+00
-5.355999999999999872e+00,6.549999999999999822e+00,6.519999999999999574e+00
-5.346000000000000085e+00,6.250000000000000000e+00,6.230000000000000426e+00
-5.336000000000000298e+00,5.950000000000000178e+00,5.929999999999999716e+00
-5.325999999999999623e+00,5.650000000000000355e+00,5.629999999999999893e+00
-5.315999999999999837e+00,5.360000000000000320e+00,5.339999999999999858e+00
-5.306000000000000050e+00,5.070000000000000284e+00,5.049999999999999822e+00
-5.296000000000000263e+00,4.790000000000000036e+00,4.769999999999999574e+00
-5.285999999999999588e+00,4.509999999999999787e+00,4.490000000000000213e+00
-5.275999999999999801e+00,4.240000000000000213e+00,4.230000000000000426e+00
-5.266000000000000014e+00,3.979999999999999982e+00,3.959999999999999964e+00
-5.256000000000000227e+00,3.720000000000000195e+00,3.709999999999999964e+00
-5.246000000000000441e+00,3.479999999999999982e+00,3.470000000000000195e+00
